timestamp,OHLC_bfly,OHLC_bfnx,OHLC_bnus,OHLC_btrx,OHLC_cbse,OHLC_gmni,OHLC_itbi,OHLC_krkn,OHLC_lmax,OHLC_okcn,OHLC_stmp
2021-02-24 00:00:00,"{'Open': 48929.54, 'High': 48929.54, 'Low': 48929.54, 'Close': 48929.54}","{'Open': 48871.67, 'High': 49086.5, 'Low': 48539.0, 'Close': 48610.11}","{'Open': 48875.0, 'High': 49096.01, 'Low': 48558.4, 'Close': 48636.52}","{'Open': 48906.61, 'High': 49058.07, 'Low': 48570.97, 'Close': 48638.64}","{'Open': 48900.0, 'High': 49106.63, 'Low': 48556.29, 'Close': 48612.97}","{'Open': 48923.48, 'High': 49123.53, 'Low': 48593.21, 'Close': 48629.94}","{'Open': 48919.5, 'High': 49100.0, 'Low': 48587.75, 'Close': 48630.75}","{'Open': 48899.6, 'High': 48899.9, 'Low': 48899.6, 'Close': 48899.9}","{'Open': 48892.5, 'High': 49080.5, 'Low': 48559.5, 'Close': 48559.5}","{'Open': 48913.57, 'High': 49078.28, 'Low': 48581.8, 'Close': 48637.63}","{'Open': 48927.33, 'High': 49083.52, 'Low': 48544.18, 'Close': 48653.24}"
2021-02-24 00:05:00,"{'Open': 48683.05, 'High': 48683.05, 'Low': 48683.05, 'Close': 48683.05}","{'Open': 48603.0, 'High': 48707.5, 'Low': 48473.34, 'Close': 48571.12}","{'Open': 48638.3, 'High': 48709.53, 'Low': 48502.35, 'Close': 48607.98}","{'Open': 48686.85, 'High': 48707.82, 'Low': 48497.16, 'Close': 48589.23}","{'Open': 48603.25, 'High': 48725.83, 'Low': 48508.36, 'Close': 48627.7}","{'Open': 48649.08, 'High': 48747.55, 'Low': 48531.06, 'Close': 48613.89}","{'Open': 48650.25, 'High': 48775.75, 'Low': 48537.12, 'Close': 48612.5}",NO TRADES,"{'Open': 48694.0, 'High': 48761.0, 'Low': 48503.5, 'Close': 48585.0}","{'Open': 48632.03, 'High': 48722.28, 'Low': 48554.89, 'Close': 48582.04}","{'Open': 48742.39, 'High': 48742.39, 'Low': 48500.0, 'Close': 48591.62}"
2021-02-24 00:10:00,"{'Open': 48574.05, 'High': 48574.05, 'Low': 48263.33, 'Close': 48263.33}","{'Open': 48576.0, 'High': 48578.5, 'Low': 48089.55, 'Close': 48089.55}","{'Open': 48593.9, 'High': 48607.31, 'Low': 48129.2, 'Close': 48129.2}","{'Open': 48588.44, 'High': 48620.09, 'Low': 48146.36, 'Close': 48204.15}","{'Open': 48627.6, 'High': 48635.14, 'Low': 48147.32, 'Close': 48147.32}","{'Open': 48630.73, 'High': 48630.73, 'Low': 48155.82, 'Close': 48155.82}","{'Open': 48592.75, 'High': 48629.62, 'Low': 48189.0, 'Close': 48189.0}","{'Open': 48899.57, 'High': 48899.57, 'Low': 48172.23, 'Close': 48176.05}","{'Open': 48592.0, 'High': 48608.0, 'Low': 48120.56, 'Close': 48147.5}","{'Open': 48593.07, 'High': 48631.26, 'Low': 48167.54, 'Close': 48174.41}","{'Open': 48597.69, 'High': 48661.95, 'Low': 48178.37, 'Close': 48212.59}"
2021-02-24 00:15:00,"{'Open': 47873.53, 'High': 47873.53, 'Low': 47648.25, 'Close': 47817.29}","{'Open': 48090.7, 'High': 48090.7, 'Low': 47557.02, 'Close': 47752.0}","{'Open': 48104.76, 'High': 48104.76, 'Low': 47607.21, 'Close': 47781.78}","{'Open': 48154.66, 'High': 48154.66, 'Low': 47607.71, 'Close': 47791.94}","{'Open': 48138.8, 'High': 48138.8, 'Low': 47595.25, 'Close': 47800.97}","{'Open': 48147.06, 'High': 48147.06, 'Low': 47611.97, 'Close': 47807.48}","{'Open': 48109.75, 'High': 48109.75, 'Low': 47589.25, 'Close': 47822.5}","{'Open': 48149.48, 'High': 48149.47, 'Low': 47599.43, 'Close': 47822.3}","{'Open': 48130.5, 'High': 48130.5, 'Low': 47575.25, 'Close': 47744.5}","{'Open': 48098.98, 'High': 48098.98, 'Low': 47609.33, 'Close': 47857.54}","{'Open': 48130.31, 'High': 48130.31, 'Low': 47601.0, 'Close': 47801.0}"
2021-02-24 00:20:00,"{'Open': 47500.0, 'High': 47500.0, 'Low': 47086.89, 'Close': 47153.51}","{'Open': 47748.0, 'High': 47748.0, 'Low': 46950.92, 'Close': 47032.0}","{'Open': 47778.05, 'High': 47778.05, 'Low': 47002.63, 'Close': 47055.43}","{'Open': 47766.73, 'High': 47766.73, 'Low': 46999.65, 'Close': 47133.12}","{'Open': 47793.72, 'High': 47793.72, 'Low': 47017.95, 'Close': 47096.29}","{'Open': 47812.0, 'High': 47811.99, 'Low': 47018.88, 'Close': 47114.02}","{'Open': 47783.67, 'High': 47783.67, 'Low': 47022.75, 'Close': 47077.0}","{'Open': 47786.43, 'High': 47786.43, 'Low': 47050.0, 'Close': 47072.2}","{'Open': 47769.75, 'High': 47769.75, 'Low': 46930.99, 'Close': 47090.0}","{'Open': 47706.19, 'High': 47748.9, 'Low': 47016.63, 'Close': 47091.91}","{'Open': 47765.18, 'High': 47765.18, 'Low': 47000.0, 'Close': 47092.3}"
2021-02-24 00:25:00,"{'Open': 47247.61, 'High': 47300.6, 'Low': 47247.61, 'Close': 47300.6}","{'Open': 47034.33, 'High': 47309.44, 'Low': 46981.79, 'Close': 47193.0}","{'Open': 47114.14, 'High': 47332.52, 'Low': 47025.04, 'Close': 47269.36}","{'Open': 47099.54, 'High': 47350.65, 'Low': 47019.27, 'Close': 47250.92}","{'Open': 47134.38, 'High': 47350.08, 'Low': 47015.64, 'Close': 47256.91}","{'Open': 47136.56, 'High': 47349.38, 'Low': 47009.56, 'Close': 47260.0}","{'Open': 47130.75, 'High': 47326.5, 'Low': 47024.81, 'Close': 47225.25}","{'Open': 47128.8, 'High': 47300.0, 'Low': 47015.7, 'Close': 47245.73}","{'Open': 47156.5, 'High': 47315.75, 'Low': 47008.5, 'Close': 47265.5}","{'Open': 47170.12, 'High': 47351.35, 'Low': 47157.28, 'Close': 47225.92}","{'Open': 47144.02, 'High': 47341.49, 'Low': 47031.47, 'Close': 47239.68}"
2021-02-24 00:30:00,"{'Open': 47399.97, 'High': 47563.17, 'Low': 47399.97, 'Close': 47563.17}","{'Open': 47166.5, 'High': 47692.76, 'Low': 47166.5, 'Close': 47615.71}","{'Open': 47272.36, 'High': 47697.54, 'Low': 47239.9, 'Close': 47683.23}","{'Open': 47289.12, 'High': 47704.9, 'Low': 47289.12, 'Close': 47633.65}","{'Open': 47245.34, 'High': 47735.99, 'Low': 47245.34, 'Close': 47653.88}","{'Open': 47255.85, 'High': 47708.5, 'Low': 47244.46, 'Close': 47687.94}","{'Open': 47270.25, 'High': 47680.75, 'Low': 47270.25, 'Close': 47675.0}","{'Open': 47225.0, 'High': 47720.0, 'Low': 47225.0, 'Close': 47668.1}","{'Open': 47248.5, 'High': 47728.25, 'Low': 47248.5, 'Close': 47667.62}","{'Open': 47372.7, 'High': 47693.72, 'Low': 47372.7, 'Close': 47632.98}","{'Open': 47275.7, 'High': 47704.51, 'Low': 47275.7, 'Close': 47600.3}"
2021-02-24 00:35:00,"{'Open': 47741.14, 'High': 47741.14, 'Low': 47741.14, 'Close': 47741.14}","{'Open': 47638.0, 'High': 47766.17, 'Low': 47540.9, 'Close': 47690.0}","{'Open': 47654.38, 'High': 47801.84, 'Low': 47571.79, 'Close': 47700.0}","{'Open': 47646.61, 'High': 47771.01, 'Low': 47600.0, 'Close': 47701.09}","{'Open': 47665.12, 'High': 47794.4, 'Low': 47577.69, 'Close': 47728.66}","{'Open': 47667.88, 'High': 47831.29, 'Low': 47615.49, 'Close': 47725.29}","{'Open': 47657.5, 'High': 47802.5, 'Low': 47554.75, 'Close': 47721.5}","{'Open': 47648.8, 'High': 47777.3, 'Low': 47553.7, 'Close': 47695.4}","{'Open': 47678.5, 'High': 47802.0, 'Low': 47600.8, 'Close': 47671.0}","{'Open': 47638.91, 'High': 47776.99, 'Low': 47596.8, 'Close': 47623.63}","{'Open': 47645.43, 'High': 47782.15, 'Low': 47575.45, 'Close': 47700.87}"
2021-02-24 00:40:00,NO TRADES,"{'Open': 47683.0, 'High': 47799.25, 'Low': 47575.0, 'Close': 47702.0}","{'Open': 47695.07, 'High': 47840.0, 'Low': 47596.13, 'Close': 47728.84}","{'Open': 47754.24, 'High': 47863.65, 'Low': 47660.73, 'Close': 47733.88}","{'Open': 47723.56, 'High': 47853.41, 'Low': 47572.0, 'Close': 47734.25}","{'Open': 47787.52, 'High': 47878.86, 'Low': 47610.95, 'Close': 47679.67}","{'Open': 47721.5, 'High': 47863.75, 'Low': 47636.0, 'Close': 47725.5}","{'Open': 47704.98, 'High': 47823.22, 'Low': 47604.47, 'Close': 47748.9}","{'Open': 47742.0, 'High': 47859.46, 'Low': 47587.12, 'Close': 47708.88}","{'Open': 47808.06, 'High': 47862.17, 'Low': 47629.0, 'Close': 47724.61}","{'Open': 47705.04, 'High': 47872.67, 'Low': 47609.13, 'Close': 47771.44}"
2021-02-24 00:45:00,NO TRADES,"{'Open': 47707.0, 'High': 47906.12, 'Low': 47707.0, 'Close': 47730.0}","{'Open': 47727.91, 'High': 47903.71, 'Low': 47727.91, 'Close': 47762.53}","{'Open': 47775.49, 'High': 47958.21, 'Low': 47758.75, 'Close': 47758.75}","{'Open': 47750.21, 'High': 47951.29, 'Low': 47732.72, 'Close': 47772.02}","{'Open': 47760.77, 'High': 47948.71, 'Low': 47744.02, 'Close': 47791.65}","{'Open': 47725.5, 'High': 47952.0, 'Low': 47709.0, 'Close': 47785.88}","{'Open': 47738.0, 'High': 47968.34, 'Low': 47738.0, 'Close': 47775.4}","{'Open': 47811.5, 'High': 47892.25, 'Low': 47730.5, 'Close': 47739.5}","{'Open': 47771.93, 'High': 47966.49, 'Low': 47771.93, 'Close': 47779.7}","{'Open': 47751.34, 'High': 47954.75, 'Low': 47724.96, 'Close': 47765.21}"
