timestamp,OHLC_bfly,OHLC_bfnx,OHLC_bnus,OHLC_btrx,OHLC_cbse,OHLC_gmni,OHLC_itbi,OHLC_krkn,OHLC_lmax,OHLC_okcn,OHLC_stmp
2021-02-24 00:00:00,"{'Open': 48929.54, 'High': 48929.54, 'Low': 47086.89, 'Close': 48191.14}","{'Open': 48871.67, 'High': 49086.5, 'Low': 46950.92, 'Close': 48485.5}","{'Open': 48875.0, 'High': 49096.01, 'Low': 47002.63, 'Close': 48480.98}","{'Open': 48906.61, 'High': 49058.07, 'Low': 46999.65, 'Close': 48488.0}","{'Open': 48900.0, 'High': 49106.63, 'Low': 47015.64, 'Close': 48492.75}","{'Open': 48923.48, 'High': 49123.53, 'Low': 47009.56, 'Close': 48513.16}","{'Open': 48919.5, 'High': 49100.0, 'Low': 47022.75, 'Close': 48485.25}","{'Open': 48899.6, 'High': 48899.9, 'Low': 47015.7, 'Close': 48498.95}","{'Open': 48892.5, 'High': 49080.5, 'Low': 46930.99, 'Close': 48504.0}","{'Open': 48913.57, 'High': 49078.28, 'Low': 47016.63, 'Close': 48450.6}","{'Open': 48927.33, 'High': 49083.52, 'Low': 47000.0, 'Close': 48513.29}"
2021-02-24 01:00:00,"{'Open': 48934.14, 'High': 50161.64, 'Low': 48798.7, 'Close': 50161.64}","{'Open': 48454.0, 'High': 50227.5, 'Low': 48413.0, 'Close': 50207.43}","{'Open': 48440.07, 'High': 50214.49, 'Low': 48440.07, 'Close': 50214.49}","{'Open': 48488.0, 'High': 50216.29, 'Low': 48453.81, 'Close': 50199.99}","{'Open': 48503.31, 'High': 50313.18, 'Low': 48440.86, 'Close': 50228.45}","{'Open': 48510.28, 'High': 50253.18, 'Low': 48462.55, 'Close': 50227.97}","{'Open': 48485.25, 'High': 50208.25, 'Low': 48447.88, 'Close': 50193.17}","{'Open': 48499.0, 'High': 50200.0, 'Low': 48474.6, 'Close': 50180.4}","{'Open': 48501.75, 'High': 50232.88, 'Low': 48438.0, 'Close': 50168.57}","{'Open': 48527.41, 'High': 50201.53, 'Low': 48476.68, 'Close': 50201.53}","{'Open': 48480.9, 'High': 50232.0, 'Low': 48434.22, 'Close': 50206.74}"
2021-02-24 02:00:00,"{'Open': 49994.55, 'High': 50513.79, 'Low': 49994.55, 'Close': 50136.78}","{'Open': 50183.67, 'High': 50552.41, 'Low': 49830.35, 'Close': 50173.24}","{'Open': 50193.2, 'High': 50544.09, 'Low': 49808.2, 'Close': 50206.46}","{'Open': 50198.75, 'High': 50572.8, 'Low': 49838.02, 'Close': 50230.77}","{'Open': 50251.42, 'High': 50594.54, 'Low': 49838.14, 'Close': 50222.69}","{'Open': 50257.72, 'High': 50598.32, 'Low': 49842.67, 'Close': 50244.25}","{'Open': 50193.25, 'High': 50537.62, 'Low': 49832.25, 'Close': 50215.5}","{'Open': 50211.07, 'High': 50564.5, 'Low': 49846.7, 'Close': 50215.87}","{'Open': 50181.0, 'High': 50569.0, 'Low': 49800.12, 'Close': 50191.5}","{'Open': 50240.11, 'High': 50567.44, 'Low': 49853.89, 'Close': 50189.77}","{'Open': 50224.22, 'High': 50602.39, 'Low': 49815.26, 'Close': 50202.83}"
2021-02-24 03:00:00,"{'Open': 50948.0, 'High': 50948.0, 'Low': 50948.0, 'Close': 50948.0}","{'Open': 50161.0, 'High': 51000.07, 'Low': 50045.82, 'Close': 50902.0}","{'Open': 50173.46, 'High': 50976.25, 'Low': 50099.21, 'Close': 50898.28}","{'Open': 50213.58, 'High': 50999.99, 'Low': 50105.15, 'Close': 50949.59}","{'Open': 50220.01, 'High': 50999.3, 'Low': 50089.65, 'Close': 50934.3}","{'Open': 50200.0, 'High': 51000.0, 'Low': 50063.43, 'Close': 50954.42}","{'Open': 50166.25, 'High': 50991.25, 'Low': 50073.0, 'Close': 50913.25}","{'Open': 50202.2, 'High': 50988.66, 'Low': 50082.03, 'Close': 50928.4}","{'Open': 50171.0, 'High': 50999.5, 'Low': 50073.75, 'Close': 50929.0}","{'Open': 50186.42, 'High': 50970.65, 'Low': 50140.5, 'Close': 50968.49}","{'Open': 50190.12, 'High': 51000.0, 'Low': 50090.0, 'Close': 50939.95}"
2021-02-24 04:00:00,"{'Open': 51019.92, 'High': 51019.92, 'Low': 50740.08, 'Close': 50740.08}","{'Open': 50901.0, 'High': 51353.0, 'Low': 50349.92, 'Close': 50607.0}","{'Open': 50919.02, 'High': 51399.11, 'Low': 50349.55, 'Close': 50636.53}","{'Open': 51000.0, 'High': 51382.63, 'Low': 50400.0, 'Close': 50662.38}","{'Open': 50934.55, 'High': 51397.56, 'Low': 50358.54, 'Close': 50654.12}","{'Open': 50943.71, 'High': 51387.91, 'Low': 50350.01, 'Close': 50645.41}","{'Open': 50913.25, 'High': 51391.5, 'Low': 50353.5, 'Close': 50650.5}","{'Open': 50926.6, 'High': 51392.0, 'Low': 50353.35, 'Close': 50635.3}","{'Open': 50940.12, 'High': 51409.0, 'Low': 50353.25, 'Close': 50628.5}","{'Open': 50962.95, 'High': 51379.63, 'Low': 50365.76, 'Close': 50666.0}","{'Open': 50937.52, 'High': 51391.36, 'Low': 50342.26, 'Close': 50650.54}"
2021-02-24 05:00:00,NO TRADES,"{'Open': 50611.0, 'High': 51062.75, 'Low': 49971.54, 'Close': 50166.0}","{'Open': 50656.06, 'High': 51026.61, 'Low': 49986.0, 'Close': 50217.25}","{'Open': 50676.45, 'High': 51030.52, 'Low': 50011.97, 'Close': 50246.58}","{'Open': 50655.08, 'High': 51025.09, 'Low': 49992.83, 'Close': 50225.89}","{'Open': 50713.91, 'High': 51014.44, 'Low': 50007.01, 'Close': 50212.6}","{'Open': 50656.5, 'High': 51044.5, 'Low': 50016.0, 'Close': 50234.5}","{'Open': 50647.5, 'High': 51046.25, 'Low': 50022.5, 'Close': 50204.8}","{'Open': 50761.3, 'High': 51032.5, 'Low': 50028.5, 'Close': 50236.5}","{'Open': 50721.28, 'High': 51044.41, 'Low': 50019.98, 'Close': 50250.84}","{'Open': 50665.34, 'High': 51039.0, 'Low': 50000.0, 'Close': 50245.64}"
2021-02-24 06:00:00,"{'Open': 50050.8, 'High': 50050.8, 'Low': 49656.52, 'Close': 50018.9}","{'Open': 50167.0, 'High': 50638.67, 'Low': 49370.18, 'Close': 50034.0}","{'Open': 50211.36, 'High': 50678.4, 'Low': 49462.65, 'Close': 50093.88}","{'Open': 50232.1, 'High': 50699.1, 'Low': 49504.61, 'Close': 50119.51}","{'Open': 50234.41, 'High': 50689.14, 'Low': 49454.42, 'Close': 50098.57}","{'Open': 50253.37, 'High': 50702.67, 'Low': 49456.29, 'Close': 50140.49}","{'Open': 50248.25, 'High': 50687.75, 'Low': 49500.25, 'Close': 50104.75}","{'Open': 50235.4, 'High': 50688.9, 'Low': 49439.92, 'Close': 50110.2}","{'Open': 50225.5, 'High': 50691.0, 'Low': 49478.0, 'Close': 50096.0}","{'Open': 50493.24, 'High': 50654.01, 'Low': 49496.23, 'Close': 50104.04}","{'Open': 50262.87, 'High': 50693.6, 'Low': 49461.16, 'Close': 50109.14}"
2021-02-24 07:00:00,"{'Open': 49680.1, 'High': 49680.1, 'Low': 49680.1, 'Close': 49680.1}","{'Open': 50035.0, 'High': 50319.58, 'Low': 49476.28, 'Close': 50050.0}","{'Open': 50091.48, 'High': 50319.39, 'Low': 49512.41, 'Close': 50042.91}","{'Open': 50114.94, 'High': 50346.99, 'Low': 49570.91, 'Close': 50111.73}","{'Open': 50093.76, 'High': 50350.0, 'Low': 49528.18, 'Close': 50074.33}","{'Open': 50125.63, 'High': 50355.07, 'Low': 49539.91, 'Close': 50095.0}","{'Open': 50104.75, 'High': 50327.75, 'Low': 49555.25, 'Close': 50085.5}","{'Open': 50110.2, 'High': 50367.54, 'Low': 49548.6, 'Close': 50140.7}","{'Open': 50099.75, 'High': 50358.5, 'Low': 49566.0, 'Close': 50078.0}","{'Open': 50206.4, 'High': 50345.18, 'Low': 49567.23, 'Close': 50078.48}","{'Open': 50095.36, 'High': 50348.8, 'Low': 49531.41, 'Close': 50060.64}"
2021-02-24 08:00:00,"{'Open': 49890.34, 'High': 50726.45, 'Low': 49890.34, 'Close': 50726.45}","{'Open': 50051.0, 'High': 50920.17, 'Low': 49792.62, 'Close': 50600.17}","{'Open': 50089.2, 'High': 50884.71, 'Low': 49818.38, 'Close': 50658.05}","{'Open': 50105.15, 'High': 50915.78, 'Low': 49840.0, 'Close': 50679.16}","{'Open': 50070.83, 'High': 50889.63, 'Low': 49789.69, 'Close': 50664.24}","{'Open': 50072.4, 'High': 50904.42, 'Low': 49845.77, 'Close': 50684.06}","{'Open': 50109.5, 'High': 50905.0, 'Low': 49842.0, 'Close': 50680.25}","{'Open': 50140.7, 'High': 50912.5, 'Low': 49824.72, 'Close': 50682.8}","{'Open': 50045.75, 'High': 50888.0, 'Low': 49777.13, 'Close': 50674.5}","{'Open': 50124.68, 'High': 50881.7, 'Low': 49822.92, 'Close': 50676.57}","{'Open': 50100.0, 'High': 50977.59, 'Low': 49814.49, 'Close': 50700.14}"
2021-02-24 09:00:00,"{'Open': 50890.43, 'High': 50907.35, 'Low': 50846.85, 'Close': 50846.85}","{'Open': 50620.8, 'High': 51323.78, 'Low': 50293.0, 'Close': 50809.0}","{'Open': 50667.96, 'High': 51402.65, 'Low': 50362.72, 'Close': 50904.26}","{'Open': 50699.12, 'High': 51408.64, 'Low': 50365.92, 'Close': 50970.65}","{'Open': 50664.18, 'High': 51412.09, 'Low': 50368.65, 'Close': 50902.89}","{'Open': 50689.09, 'High': 51421.74, 'Low': 50375.08, 'Close': 50909.66}","{'Open': 50680.25, 'High': 51397.0, 'Low': 50420.62, 'Close': 50929.5}","{'Open': 50682.9, 'High': 51430.9, 'Low': 50380.7, 'Close': 50900.0}","{'Open': 50679.5, 'High': 51449.5, 'Low': 50389.0, 'Close': 50896.5}","{'Open': 50665.65, 'High': 51421.71, 'Low': 50372.51, 'Close': 50899.67}","{'Open': 50673.74, 'High': 51421.33, 'Low': 50389.98, 'Close': 50889.26}"
