timestamp,ecart_type_bfly,ecart_type_bfnx,ecart_type_bnus,ecart_type_btrx,ecart_type_cbse,ecart_type_gmni,ecart_type_itbi,ecart_type_krkn,ecart_type_lmax,ecart_type_okcn,ecart_type_stmp,Global_mean
2021-02-24 00:00:00,0.0,143.55,137.16,123.44,143.46,139.22,138.5,0.1,122.56,132.18,143.63,111.25454545454546
2021-02-24 00:05:00,0.0,60.52,46.7,53.86,52.32,55.17,55.68,NO TRADES,56.17,50.62,54.11,48.515
2021-02-24 00:10:00,146.47,118.08,108.99,108.5,103.1,122.12,108.01,128.4,141.63,100.97,110.97,117.93090909090911
2021-02-24 00:15:00,84.37,137.92,134.48,137.83,139.6,135.44,143.75,145.64,141.1,141.87,144.55,135.14090909090908
2021-02-24 00:20:00,143.36,228.04,229.94,218.97,228.9,219.18,229.11,230.59,213.22,218.32,215.37,215.9090909090909
2021-02-24 00:25:00,26.49,70.98,59.96,66.43,65.77,70.94,66.43,64.26,69.15,55.42,67.82,62.149999999999984
2021-02-24 00:30:00,81.6,103.98,108.57,99.04,99.91,110.77,98.2,104.27,97.77,84.4,103.35,99.25999999999999
2021-02-24 00:35:00,0.0,52.25,53.53,48.53,50.38,52.83,54.77,48.26,52.06,56.15,52.77,47.41181818181818
2021-02-24 00:40:00,NO TRADES,56.54,58.9,47.95,57.0,55.99,52.7,60.59,73.03,64.37,59.54,58.661
2021-02-24 00:45:00,NO TRADES,44.78,38.71,43.16,40.11,41.5,42.51,46.26,40.42,50.17,49.5,43.712
2021-02-24 00:50:00,29.36,151.14,150.17,149.01,151.04,152.7,154.62,157.05,122.01,151.85,159.88,138.98454545454544
2021-02-24 00:55:00,NO TRADES,83.15,83.79,80.59,80.24,68.64,68.27,80.04,85.01,75.08,81.64,78.64500000000001
2021-02-24 01:00:00,NO TRADES,67.5,63.97,60.58,63.12,66.56,60.76,64.43,65.64,60.09,65.9,63.855000000000004
2021-02-24 01:05:00,NO TRADES,80.86,79.13,79.17,70.22,74.39,84.23,62.28,67.29,70.67,81.06,74.92999999999999
2021-02-24 01:10:00,67.72,73.09,78.95,77.75,75.59,69.72,71.79,70.21,67.93,68.32,76.62,72.51727272727273
2021-02-24 01:15:00,NO TRADES,78.81,64.13,80.53,67.62,68.36,65.52,69.4,66.2,59.93,66.1,68.66
2021-02-24 01:20:00,NO TRADES,66.43,74.19,70.01,67.64,71.99,70.83,65.8,93.5,91.77,75.62,74.77799999999999
2021-02-24 01:25:00,NO TRADES,67.09,63.54,61.78,64.02,62.87,58.94,62.25,58.51,57.07,59.12,61.519000000000005
2021-02-24 01:30:00,NO TRADES,104.1,107.67,93.66,110.95,107.33,104.36,115.02,129.84,136.02,114.71,112.36599999999999
2021-02-24 01:35:00,0.0,113.66,97.5,110.45,108.75,100.41,110.98,111.5,102.26,116.05,108.95,98.22818181818182
2021-02-24 01:40:00,17.58,151.78,156.69,141.51,149.18,144.67,153.27,163.86,137.92,151.92,147.85,137.8390909090909
2021-02-24 01:45:00,NO TRADES,70.4,70.32,54.8,64.25,66.82,70.22,62.16,66.98,74.95,68.23,66.913
2021-02-24 01:50:00,NO TRADES,71.44,66.02,68.2,74.29,76.4,71.87,75.98,74.49,71.97,66.66,71.732
2021-02-24 01:55:00,0.0,153.72,143.51,160.72,144.26,146.56,148.9,150.54,152.83,139.97,141.38,134.76272727272726
2021-02-24 02:00:00,152.52,186.61,195.45,192.24,206.02,190.54,188.84,200.34,223.86,204.58,186.97,193.45181818181817
2021-02-24 02:05:00,NO TRADES,77.92,68.85,67.45,69.63,77.92,72.33,74.34,85.25,77.05,72.52,74.326
2021-02-24 02:10:00,NO TRADES,95.73,98.62,86.0,92.95,93.12,89.45,95.81,105.29,98.69,95.15,95.081
2021-02-24 02:15:00,0.0,115.23,131.82,118.53,118.93,109.61,113.87,122.37,105.62,118.67,115.27,106.35636363636364
2021-02-24 02:20:00,NO TRADES,90.37,85.77,92.25,86.12,80.02,82.67,84.08,94.67,94.27,89.73,87.99499999999999
2021-02-24 02:25:00,NO TRADES,77.26,75.58,59.31,75.59,73.17,71.56,81.24,73.72,80.81,73.9,74.214
2021-02-24 02:30:00,NO TRADES,82.08,82.4,87.8,83.36,87.42,81.16,84.09,82.43,84.66,81.57,83.697
2021-02-24 02:35:00,NO TRADES,56.15,58.13,57.84,56.32,54.83,60.07,55.3,49.99,60.17,51.48,56.028
2021-02-24 02:40:00,NO TRADES,89.81,87.41,68.87,95.59,86.4,90.24,89.68,100.0,96.58,78.83,88.34100000000001
2021-02-24 02:45:00,NO TRADES,72.18,74.17,49.08,75.01,69.7,76.72,86.4,67.06,88.36,48.43,70.711
2021-02-24 02:50:00,NO TRADES,42.97,40.07,44.52,38.77,39.3,38.86,30.39,45.61,45.11,40.08,40.568
2021-02-24 02:55:00,NO TRADES,71.55,61.17,59.3,62.73,60.58,63.53,56.44,61.06,60.85,64.94,62.21499999999999
2021-02-24 03:00:00,NO TRADES,111.64,112.0,103.13,101.88,112.24,116.93,108.36,116.05,104.94,105.29,109.24600000000001
2021-02-24 03:05:00,NO TRADES,72.05,63.96,79.32,61.37,59.27,62.58,67.02,67.84,71.49,53.18,65.80799999999999
2021-02-24 03:10:00,NO TRADES,58.97,48.16,66.01,54.62,51.16,60.02,56.21,52.28,59.48,57.36,56.427
2021-02-24 03:15:00,NO TRADES,61.8,56.87,44.35,51.12,59.39,58.23,51.55,43.63,52.93,53.89,53.376
2021-02-24 03:20:00,NO TRADES,43.34,46.34,35.31,40.9,47.91,40.73,35.24,47.37,37.41,47.47,42.202
2021-02-24 03:25:00,NO TRADES,28.07,24.18,25.08,26.85,29.18,26.47,18.38,24.11,22.97,28.11,25.339999999999996
2021-02-24 03:30:00,NO TRADES,26.94,30.34,24.14,27.4,31.76,24.65,21.95,25.85,21.25,28.83,26.311
2021-02-24 03:35:00,NO TRADES,52.93,53.57,55.83,54.7,56.58,47.93,50.17,48.83,30.1,57.87,50.851000000000006
2021-02-24 03:40:00,NO TRADES,50.93,44.7,40.53,46.06,41.59,48.75,48.81,49.7,52.92,49.4,47.339
2021-02-24 03:45:00,NO TRADES,123.47,117.19,132.81,123.26,124.18,116.08,137.64,90.28,144.04,132.17,124.11200000000001
2021-02-24 03:50:00,NO TRADES,49.28,46.88,43.27,40.53,41.35,41.65,45.54,39.96,37.37,37.87,42.37
2021-02-24 03:55:00,0.0,42.86,41.18,45.14,37.66,42.16,37.41,38.63,43.04,42.22,37.49,37.07181818181818
2021-02-24 04:00:00,0.0,49.11,47.51,48.86,47.02,47.34,51.97,44.78,46.38,42.97,44.14,42.73454545454546
2021-02-24 04:05:00,NO TRADES,51.51,46.26,44.17,53.04,48.09,46.56,50.61,35.87,44.89,49.37,47.037
2021-02-24 04:10:00,NO TRADES,47.01,42.58,42.51,39.74,39.49,41.71,39.95,37.19,42.01,38.75,41.094
2021-02-24 04:15:00,NO TRADES,140.15,143.6,136.58,136.48,140.38,130.45,139.13,143.06,109.66,147.63,136.71200000000005
2021-02-24 04:20:00,NO TRADES,78.04,66.59,71.98,66.66,75.24,75.62,62.13,55.3,55.35,82.01,68.892
2021-02-24 04:25:00,0.0,113.93,115.89,119.22,122.89,119.15,122.06,120.64,114.68,130.16,116.06,108.60727272727273
2021-02-24 04:30:00,NO TRADES,52.09,43.84,41.89,42.29,46.41,47.29,42.13,51.53,55.6,51.77,47.484
2021-02-24 04:35:00,NO TRADES,59.22,54.17,54.0,55.51,50.96,53.37,58.09,56.86,65.01,57.71,56.489999999999995
2021-02-24 04:40:00,NO TRADES,76.36,79.44,73.59,76.29,84.76,74.15,73.05,77.91,85.59,76.86,77.8
2021-02-24 04:45:00,NO TRADES,74.38,82.63,89.49,75.91,85.22,71.76,85.91,72.74,68.44,86.3,79.27799999999999
2021-02-24 04:50:00,NO TRADES,77.97,69.26,71.67,67.38,56.85,74.22,68.72,63.07,59.94,58.16,66.72399999999999
2021-02-24 04:55:00,NO TRADES,61.49,57.98,56.02,51.19,55.97,50.77,55.67,64.48,62.14,53.76,56.947
2021-02-24 05:00:00,NO TRADES,73.59,68.03,52.71,64.36,61.26,68.85,69.92,63.09,62.06,70.4,65.427
2021-02-24 05:05:00,NO TRADES,42.05,40.16,32.85,35.79,38.24,36.4,37.92,40.45,38.06,38.37,38.028999999999996
2021-02-24 05:10:00,NO TRADES,87.03,86.66,90.06,90.32,90.7,88.87,88.83,90.52,92.45,84.81,89.025
2021-02-24 05:15:00,NO TRADES,121.38,109.29,116.98,116.5,127.89,117.92,116.76,116.34,122.67,121.67,118.74000000000001
2021-02-24 05:20:00,NO TRADES,101.96,105.9,100.28,98.35,100.24,107.96,101.39,91.65,101.96,100.49,101.018
2021-02-24 05:25:00,NO TRADES,95.43,82.85,76.45,86.0,80.86,85.9,86.73,61.11,75.47,90.79,82.159
2021-02-24 05:30:00,NO TRADES,45.94,47.54,38.04,45.52,41.01,42.55,47.53,39.91,48.87,39.41,43.63199999999999
2021-02-24 05:35:00,NO TRADES,68.46,73.65,81.33,81.31,80.38,78.39,72.77,75.54,52.47,79.52,74.38199999999999
2021-02-24 05:40:00,NO TRADES,71.36,70.73,63.36,71.56,68.16,71.47,64.78,75.0,78.42,68.72,70.35600000000001
2021-02-24 05:45:00,NO TRADES,71.8,57.79,75.42,65.31,74.84,66.3,68.57,60.79,46.98,73.06,66.08599999999998
2021-02-24 05:50:00,NO TRADES,55.33,72.14,61.47,55.95,61.3,57.84,56.46,49.78,56.03,63.27,58.956999999999994
2021-02-24 05:55:00,NO TRADES,65.32,65.46,58.07,62.83,57.19,63.43,64.9,66.39,63.5,62.43,62.952
2021-02-24 06:00:00,NO TRADES,88.36,82.81,89.49,78.5,74.68,81.54,83.69,91.47,37.46,83.14,79.114
2021-02-24 06:05:00,NO TRADES,70.84,65.97,64.9,68.43,71.03,65.75,62.92,58.87,61.51,69.98,66.02000000000001
2021-02-24 06:10:00,181.0,283.97,295.19,271.43,302.89,239.12,282.32,277.21,260.1,241.7,251.17,262.3727272727273
2021-02-24 06:15:00,NO TRADES,127.27,115.69,102.51,122.62,113.9,130.31,121.81,106.41,115.29,125.95,118.176
2021-02-24 06:20:00,NO TRADES,176.87,167.8,181.78,174.23,173.89,171.65,171.13,176.99,180.19,157.93,173.246
2021-02-24 06:25:00,NO TRADES,127.98,138.29,129.55,124.38,133.86,140.75,142.25,124.78,140.37,124.38,132.65900000000002
2021-02-24 06:30:00,NO TRADES,79.61,78.35,73.91,81.69,75.19,71.97,83.33,82.16,91.22,79.99,79.74199999999999
2021-02-24 06:35:00,NO TRADES,76.25,72.3,67.73,76.89,71.72,69.11,70.53,74.91,91.35,80.15,75.094
2021-02-24 06:40:00,24.25,78.02,73.63,66.86,71.81,80.88,76.0,68.66,80.01,94.35,75.28,71.79545454545455
2021-02-24 06:45:00,1.11,103.58,125.46,112.09,106.73,108.97,106.51,102.12,107.91,101.02,101.3,97.89090909090909
2021-02-24 06:50:00,0.0,57.66,60.73,72.84,63.22,61.29,64.51,70.87,50.86,82.99,70.44,59.58272727272728
2021-02-24 06:55:00,NO TRADES,48.32,53.85,49.05,47.56,53.48,50.03,46.31,42.24,38.47,46.5,47.581
2021-02-24 07:00:00,NO TRADES,67.44,48.68,52.7,55.98,58.09,52.78,55.1,56.83,54.74,58.2,56.053999999999995
2021-02-24 07:05:00,NO TRADES,92.09,115.93,106.55,103.64,107.36,90.36,98.38,98.21,101.44,99.28,101.324
2021-02-24 07:10:00,NO TRADES,81.19,82.71,84.23,82.01,93.45,84.29,74.58,65.76,63.97,84.52,79.671
2021-02-24 07:15:00,0.0,85.07,86.05,81.8,90.5,99.72,89.34,89.07,85.03,91.78,86.25,80.4190909090909
2021-02-24 07:20:00,NO TRADES,77.49,80.65,80.16,75.05,54.34,71.13,67.33,85.4,74.44,79.82,74.58099999999999
2021-02-24 07:25:00,NO TRADES,114.09,116.49,96.29,114.82,107.25,91.61,115.51,122.33,116.3,107.03,110.172
2021-02-24 07:30:00,NO TRADES,71.24,55.39,82.65,65.39,64.01,79.23,72.79,67.17,68.91,77.14,70.392
2021-02-24 07:35:00,NO TRADES,86.11,91.28,92.22,95.44,85.96,99.93,84.75,93.96,91.2,89.76,91.061
2021-02-24 07:40:00,NO TRADES,35.54,34.39,35.82,35.15,37.91,34.54,35.19,35.06,37.05,36.84,35.749
2021-02-24 07:45:00,NO TRADES,65.43,65.39,72.14,70.01,66.31,66.92,70.73,58.47,56.69,71.18,66.32700000000003
2021-02-24 07:50:00,NO TRADES,74.35,68.65,60.73,73.48,76.55,73.87,81.86,73.29,69.61,78.34,73.07300000000001
2021-02-24 07:55:00,NO TRADES,35.91,39.16,37.79,34.46,43.07,36.33,23.74,40.27,37.19,37.65,36.556999999999995
2021-02-24 08:00:00,0.0,101.38,95.2,102.17,97.08,100.36,100.41,90.79,90.87,117.02,95.49,90.07
2021-02-24 08:05:00,NO TRADES,99.5,97.04,80.91,94.76,85.37,74.09,103.23,105.39,81.76,87.53,90.958
2021-02-24 08:10:00,0.0,39.94,33.22,35.99,37.85,37.24,45.16,28.12,37.63,30.96,44.15,33.66
2021-02-24 08:15:00,NO TRADES,126.08,116.45,105.81,116.28,111.61,113.21,141.46,112.74,122.3,121.44,118.73800000000001
2021-02-24 08:20:00,NO TRADES,55.36,42.86,44.68,38.96,40.23,37.77,34.1,47.52,43.87,43.93,42.928
2021-02-24 08:25:00,NO TRADES,47.81,40.6,45.5,40.93,45.89,29.61,37.01,41.27,46.47,43.31,41.84
2021-02-24 08:30:00,NO TRADES,50.99,60.5,50.36,58.97,63.46,49.73,61.89,58.31,60.52,61.53,57.626
2021-02-24 08:35:00,0.0,56.66,44.11,37.07,45.78,41.2,39.48,39.71,45.53,48.61,47.41,40.50545454545454
2021-02-24 08:40:00,NO TRADES,85.07,81.51,81.3,81.06,88.44,80.93,74.67,68.71,90.81,86.84,81.934
2021-02-24 08:45:00,NO TRADES,53.53,52.55,53.34,44.61,56.26,33.1,43.76,46.66,49.54,46.77,48.01200000000001
2021-02-24 08:50:00,NO TRADES,62.38,75.66,64.62,71.08,81.57,65.22,66.22,62.97,65.95,67.03,68.27000000000001
2021-02-24 08:55:00,NO TRADES,31.99,28.53,33.84,32.79,34.04,27.64,24.83,31.4,37.31,35.67,31.804000000000002
2021-02-24 09:00:00,NO TRADES,72.52,70.76,67.25,72.14,61.69,71.19,64.07,69.38,57.14,68.58,67.47200000000001
2021-02-24 09:05:00,NO TRADES,35.2,40.82,42.82,37.27,52.56,40.96,41.26,45.36,53.37,39.91,42.952999999999996
2021-02-24 09:10:00,NO TRADES,50.27,52.07,53.61,55.24,61.32,45.68,54.37,49.01,59.66,56.92,53.815
2021-02-24 09:15:00,0.0,118.68,114.13,115.77,114.96,102.41,122.42,109.52,110.85,111.38,110.64,102.79636363636364
2021-02-24 09:20:00,0.0,47.98,51.97,49.16,50.26,61.28,47.96,48.49,55.4,55.05,50.07,47.056363636363635
2021-02-24 09:25:00,NO TRADES,39.16,39.63,26.78,34.83,33.97,37.31,32.26,38.83,39.13,35.7,35.76
2021-02-24 09:30:00,0.0,55.03,56.45,51.35,55.61,59.86,53.96,54.46,53.13,49.59,50.15,49.053636363636365
2021-02-24 09:35:00,0.0,117.51,124.41,110.08,117.16,123.78,116.61,125.65,111.05,129.19,121.05,108.77181818181818
2021-02-24 09:40:00,NO TRADES,86.53,74.0,62.68,74.04,84.81,73.75,73.02,73.14,70.85,76.22,74.90400000000001
2021-02-24 09:45:00,NO TRADES,87.21,66.96,80.72,81.2,80.82,71.36,78.53,83.23,78.85,82.97,79.185
2021-02-24 09:50:00,NO TRADES,41.09,38.87,35.45,39.79,37.91,35.19,35.74,47.89,39.56,34.14,38.562999999999995
2021-02-24 09:55:00,NO TRADES,6.93,12.42,17.16,9.16,15.69,4.34,12.8,19.54,13.98,16.02,12.803999999999998
2021-02-24 10:00:00,NO TRADES,44.66,41.92,34.94,42.59,40.63,30.88,41.91,51.87,39.81,41.22,41.04299999999999
2021-02-24 10:05:00,NO TRADES,70.6,66.93,53.96,68.03,71.63,78.83,68.27,75.81,70.99,64.7,68.975
2021-02-24 10:10:00,NO TRADES,93.91,101.75,107.89,98.83,108.22,93.99,107.57,116.36,100.75,105.31,103.458
2021-02-24 10:15:00,NO TRADES,69.73,69.03,67.91,63.07,61.35,61.23,52.49,63.72,62.4,66.8,63.77299999999999
2021-02-24 10:20:00,NO TRADES,96.98,118.38,103.58,103.87,118.36,79.64,94.36,129.87,68.97,114.61,102.86200000000001
2021-02-24 10:25:00,NO TRADES,88.05,100.29,106.96,87.67,94.74,93.46,81.68,94.67,75.14,107.99,93.06499999999998
2021-02-24 10:30:00,0.0,28.99,42.3,44.76,41.72,43.52,29.11,40.53,50.16,39.99,43.65,36.79363636363637
2021-02-24 10:35:00,0.0,53.12,52.81,59.0,51.28,54.29,50.03,59.23,44.92,40.94,64.89,48.22818181818182
2021-02-24 10:40:00,NO TRADES,56.26,56.18,61.89,61.54,56.92,54.91,60.07,65.49,62.93,62.62,59.88099999999999
2021-02-24 10:45:00,NO TRADES,22.27,31.01,28.47,28.97,41.31,27.13,24.51,35.57,28.2,30.35,29.779000000000003
2021-02-24 10:50:00,NO TRADES,66.33,72.01,78.48,65.06,78.4,62.83,51.27,47.03,74.63,62.96,65.9
2021-02-24 10:55:00,NO TRADES,87.52,109.39,83.37,104.64,81.14,88.81,97.07,101.07,95.33,100.62,94.896
2021-02-24 11:00:00,NO TRADES,92.98,97.01,95.91,89.57,88.4,79.95,94.79,89.45,101.61,91.06,92.07300000000002
2021-02-24 11:05:00,NO TRADES,41.77,38.52,41.93,36.09,25.34,33.01,31.79,45.48,40.66,37.85,37.24400000000001
2021-02-24 11:10:00,0.0,48.7,52.79,46.95,47.79,39.38,41.61,41.5,44.49,46.1,43.4,41.155454545454546
2021-02-24 11:15:00,NO TRADES,52.75,52.44,52.93,48.25,51.44,47.45,54.94,52.91,51.23,48.98,51.33200000000001
2021-02-24 11:20:00,0.0,168.46,174.11,191.15,170.14,175.2,183.25,182.3,170.45,173.39,198.6,162.45909090909092
2021-02-24 11:25:00,NO TRADES,36.72,41.37,33.82,33.3,43.21,28.41,39.66,37.19,40.65,40.4,37.473
2021-02-24 11:30:00,NO TRADES,51.03,56.44,51.3,56.08,65.06,44.2,57.38,51.05,63.1,55.9,55.15400000000001
2021-02-24 11:35:00,0.0,33.53,35.7,29.65,35.02,33.19,31.75,24.88,27.65,32.48,36.52,29.124545454545455
2021-02-24 11:40:00,NO TRADES,80.57,91.34,88.29,93.55,101.75,87.43,89.97,99.89,98.79,102.26,93.384
2021-02-24 11:45:00,NO TRADES,44.68,42.55,44.38,38.8,39.06,34.0,40.85,47.49,43.57,38.75,41.413
2021-02-24 11:50:00,NO TRADES,36.84,31.25,33.71,32.09,35.68,34.67,32.59,43.39,26.96,38.37,34.555
2021-02-24 11:55:00,NO TRADES,17.47,25.18,17.87,17.43,16.69,14.42,16.08,18.35,17.67,20.43,18.159000000000002
2021-02-24 12:00:00,NO TRADES,71.65,83.62,70.12,79.48,81.63,76.3,86.52,78.23,71.47,75.89,77.49100000000001
2021-02-24 12:05:00,NO TRADES,67.99,82.32,71.65,72.49,86.64,72.52,71.87,80.5,72.88,76.78,75.564
2021-02-24 12:10:00,NO TRADES,140.05,139.21,128.38,131.7,133.9,131.91,136.04,149.01,126.03,142.07,135.82999999999998
2021-02-24 12:15:00,NO TRADES,53.0,57.41,49.2,51.01,58.94,46.43,50.67,61.18,50.54,57.24,53.562
2021-02-24 12:20:00,NO TRADES,98.37,121.68,83.54,123.33,127.03,113.56,125.13,119.89,126.88,121.39,116.08000000000001
2021-02-24 12:25:00,0.0,49.29,57.28,59.37,51.42,52.23,38.93,42.72,52.8,49.42,56.19,46.331818181818186
2021-02-24 12:30:00,NO TRADES,38.22,49.16,40.94,51.96,56.26,50.9,51.91,50.92,50.3,62.71,50.328
2021-02-24 12:35:00,0.0,45.44,45.69,51.09,46.63,57.16,40.33,51.07,51.1,46.28,50.22,44.091818181818184
2021-02-24 12:40:00,NO TRADES,87.01,84.95,77.78,90.1,89.88,86.89,85.78,85.04,96.26,91.21,87.49
2021-02-24 12:45:00,NO TRADES,50.51,51.81,51.66,60.2,54.08,50.44,51.37,59.64,52.07,54.95,53.673
2021-02-24 12:50:00,NO TRADES,62.68,72.71,67.27,59.02,56.91,55.23,65.55,62.95,43.65,64.92,61.089
2021-02-24 12:55:00,NO TRADES,56.42,63.36,57.32,57.77,61.68,57.24,53.71,55.5,62.42,58.19,58.36099999999999
2021-02-24 13:00:00,NO TRADES,92.51,90.05,98.87,101.03,106.92,95.24,93.8,88.66,86.08,94.4,94.756
2021-02-24 13:05:00,NO TRADES,72.23,106.25,85.6,80.81,104.74,81.35,94.0,81.5,123.48,82.72,91.268
2021-02-24 13:10:00,0.0,79.49,66.52,65.34,71.84,69.18,63.55,64.4,84.24,67.47,80.96,64.81727272727274
2021-02-24 13:15:00,142.79,196.33,213.41,185.23,200.58,190.64,196.18,184.81,174.93,190.42,193.15,188.0427272727273
2021-02-24 13:20:00,0.0,135.33,137.15,132.46,134.07,146.62,128.52,135.23,137.35,135.46,143.37,124.14181818181818
2021-02-24 13:25:00,NO TRADES,104.32,98.61,109.55,93.33,116.85,96.83,100.57,110.4,104.78,116.01,105.125
2021-02-24 13:30:00,49.12,184.01,194.4,176.09,202.49,200.12,187.31,191.28,174.26,183.29,186.7,175.37
2021-02-24 13:35:00,NO TRADES,102.35,94.4,94.2,97.37,100.93,100.86,98.81,92.45,91.85,104.49,97.77100000000002
2021-02-24 13:40:00,0.0,56.09,45.97,63.38,57.16,58.04,52.61,47.03,47.84,65.78,63.04,50.630909090909086
2021-02-24 13:45:00,66.28,166.6,171.48,164.85,174.12,166.39,184.4,177.38,185.95,182.66,177.08,165.19909090909093
2021-02-24 13:50:00,0.0,73.28,65.08,71.21,69.19,74.9,66.86,73.76,70.05,70.95,68.49,63.97909090909092
2021-02-24 13:55:00,NO TRADES,51.67,55.67,57.74,50.27,48.31,65.99,55.86,63.19,58.02,53.1,55.98199999999999
2021-02-24 14:00:00,NO TRADES,53.29,52.76,71.2,65.78,64.97,46.26,65.98,57.13,50.53,67.44,59.53399999999999
2021-02-24 14:05:00,0.0,148.14,142.32,138.21,145.2,141.76,148.57,152.34,146.0,149.82,147.12,132.68
2021-02-24 14:10:00,32.35,72.67,64.36,67.43,67.47,71.82,66.57,68.68,61.36,81.93,74.66,66.30000000000001
2021-02-24 14:15:00,0.0,88.95,89.75,89.28,92.47,98.08,73.85,88.56,88.57,79.57,88.14,79.74727272727272
