timestamp,ecart_type_bfly,ecart_type_bfnx,ecart_type_bnus,ecart_type_btrx,ecart_type_cbse,ecart_type_gmni,ecart_type_itbi,ecart_type_krkn,ecart_type_lmax,ecart_type_okcn,ecart_type_stmp,Global_mean
2021-02-24 00:00:00,527.54,538.65,525.35,521.48,499.21,525.57,503.5,413.11,569.35,519.69,528.98,515.6754545454546
2021-02-24 01:00:00,467.96,444.11,444.46,449.12,436.92,451.49,435.73,455.1,497.34,423.79,431.39,448.8554545454546
2021-02-24 02:00:00,150.16,166.85,174.31,169.58,168.37,170.31,167.19,180.58,175.06,165.87,168.58,168.80545454545452
2021-02-24 03:00:00,0.0,231.72,206.6,210.44,208.09,213.24,206.47,226.83,196.79,184.45,204.48,189.91909090909093
2021-02-24 04:00:00,139.92,230.64,230.52,237.58,234.85,232.64,228.29,236.87,257.57,231.14,236.68,226.97272727272727
2021-02-24 05:00:00,NO TRADES,255.73,255.6,261.69,243.38,252.62,248.55,249.91,271.19,262.89,228.4,252.996
2021-02-24 06:00:00,116.1,298.53,307.87,317.32,296.84,288.93,306.86,298.24,296.28,280.1,282.89,280.9054545454546
2021-02-24 07:00:00,0.0,196.34,184.58,182.37,182.0,179.66,184.57,186.08,175.05,176.15,182.84,166.33090909090907
2021-02-24 08:00:00,300.0,225.32,207.33,224.17,220.81,223.25,222.69,211.07,213.28,233.46,214.87,226.93181818181813
2021-02-24 09:00:00,23.47,225.12,234.09,253.85,233.28,233.45,249.64,246.61,247.72,238.42,235.36,220.0918181818182
2021-02-24 10:00:00,29.08,217.88,220.39,237.23,208.02,193.88,205.17,208.93,208.88,194.08,228.16,195.6090909090909
2021-02-24 11:00:00,100.17,169.22,167.96,178.59,170.92,177.64,171.84,165.01,174.61,172.97,175.47,165.85454545454547
2021-02-24 12:00:00,75.85,221.81,237.21,225.67,229.71,238.15,226.16,222.19,197.72,223.71,212.35,210.0481818181818
2021-02-24 13:00:00,446.51,487.34,497.84,509.35,514.54,468.41,487.36,476.43,484.9,493.51,541.38,491.5972727272727
2021-02-24 14:00:00,250.82,227.67,226.14,237.15,221.66,224.54,217.7,228.05,225.86,223.86,226.38,228.16636363636368
2021-02-24 15:00:00,269.78,348.82,330.79,353.03,327.23,350.3,344.75,342.7,342.54,348.5,348.04,336.95272727272726
2021-02-24 16:00:00,226.38,174.55,174.65,166.91,149.74,164.23,156.47,167.06,162.15,175.97,158.58,170.60818181818183
2021-02-24 17:00:00,28.22,158.43,139.21,126.95,133.5,139.97,129.5,128.34,125.14,133.77,148.89,126.53818181818183
2021-02-24 18:00:00,50.0,135.74,134.33,125.15,132.47,136.2,137.48,132.54,141.54,130.54,140.88,126.98818181818181
2021-02-24 19:00:00,216.71,234.32,245.1,254.15,242.06,240.31,240.07,242.44,233.66,233.79,237.85,238.22363636363633
2021-02-24 20:00:00,132.73,171.67,165.75,171.53,164.77,164.91,161.93,173.25,176.51,165.1,168.68,165.16636363636363
2021-02-24 21:00:00,172.0,246.24,242.4,247.08,253.06,261.74,245.0,246.87,267.69,263.13,268.88,246.73545454545456
2021-02-24 22:00:00,187.07,252.01,221.53,228.62,218.85,224.37,226.39,241.26,218.15,214.0,229.48,223.79363636363635
2021-02-24 23:00:00,54.35,195.24,195.25,213.92,214.05,209.94,209.1,207.34,200.19,192.79,200.22,190.21727272727273
